,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
0,US East,M32ts Spot,1,0.2707,0.2707,2023-08-01T00:00:00Z
1,US East,E48a v4 Spot,1,0.3024,0.3024,2022-07-01T00:00:00Z
2,US East,E32-8s v4 Spot,1,0.2016,0.2016,2024-01-01T00:00:00Z
3,US East,Standard_EC96as_v5 Spot,8,3.719779,0.504972375,2024-01-01T00:00:00Z
4,US East,M32-8ms Spot,1,0.84276,0.84276,2023-08-01T00:00:00Z
5,US East,Standard_D64pls_v5 Spot,8,0.2176,0.0672,2023-06-01T00:00:00Z
6,US East,D8lds v5 Spot,1,0.188,0.188,2023-09-01T00:00:00Z
7,US East,Standard_M48ds_1_v3 Spot,8,1.655,0.246875,2023-11-01T00:00:00Z
8,US East,Standard_M12ds_v3 Spot,4,0.4075,0.121875,2023-11-01T00:00:00Z
9,US East,F2ads v6 Spot,1,0.0655,0.0655,2024-01-01T00:00:00Z
10,US East,NP20s Spot,1,0.33,0.33,2023-04-01T00:00:00Z
11,US East,E4s v5 Spot,1,0.0252,0.0252,2024-01-01T00:00:00Z
12,US East,D32as v4 Spot,1,0.3008,0.3008,2023-09-01T00:00:00Z
13,US East,D96as_v6 Spot,1,0.99125,0.99125,2023-12-01T00:00:00Z
14,US East,E48as v4 Spot,1,0.5232,0.5232,2023-09-01T00:00:00Z
15,US East,M8-2ms Spot,1,0.15365,0.15365,2023-08-01T00:00:00Z
16,US East,Standard_E4pds_v5 Spot,2,0.023,0.0215,2023-06-01T00:00:00Z
17,US East,D14 Spot,1,0.2111,0.2111,2023-10-01T00:00:00Z
18,US East,M64s_v2 Spot,1,0.6459,0.6459,2023-08-01T00:00:00Z
19,US East,D2a v4 Spot,1,0.0096,0.0096,2022-07-01T00:00:00Z
20,US East,E104is v5 Spot,1,1.308218,1.308218,2024-01-01T00:00:00Z
21,US East,D16 v3 Spot,1,0.164086,0.164086,2024-01-01T00:00:00Z
22,US East,standard_DC1ds_v3 Spot,1,0.0113,0.0113,2023-09-01T00:00:00Z
23,US East,D64 v4 Spot,1,0.656346,0.656346,2024-01-01T00:00:00Z
24,US East,E104ids v5 Spot,1,0.8237,0.8237,2024-01-01T00:00:00Z
25,US East,A8 v2 Spot,1,0.06546,0.06546,2024-01-01T00:00:00Z
26,US East,Standard_D48ds_v5 Spot,8,0.2712,0.0739,2024-01-01T00:00:00Z
27,US East,E4a v4 Spot,1,0.0252,0.0252,2022-07-01T00:00:00Z
28,US East,Standard_M176s_4_v3 Spot,8,8.25,1.07125,2023-11-01T00:00:00Z
29,US East,B8s v2 Spot,1,0.08325,0.08325,2023-09-01T00:00:00Z
30,US East,D4 v4 Spot,1,0.0192,0.0192,2024-01-01T00:00:00Z
31,US East,E8-2ds v4 Spot,1,0.10299,0.10299,2024-01-01T00:00:00Z
