,InstanceType,MaximumNetworkInterfaces
0,Basic_A0,2
1,Basic_A1,2
2,Basic_A2,2
3,Basic_A3,2
4,Basic_A4,2
5,Standard_A0,2
6,Standard_A1,2
7,Standard_A1_v2,2
8,Standard_A2,2
9,Standard_A2m_v2,2
10,Standard_A2_v2,2
11,Standard_A3,2
12,Standard_A4,4
13,Standard_A4m_v2,4
14,Standard_A4_v2,4
15,Standard_A5,2
16,Standard_A6,2
17,Standard_A7,4
18,Standard_A8m_v2,8
19,Standard_A8_v2,8
20,Standard_B12ms,6
21,Standard_B16als_v2,4
22,Standard_B16as_v2,4
23,Standard_B16ls_v2,4
24,Standard_B16ms,8
25,Standard_B16pls_v2,4
26,Standard_B16ps_v2,4
27,Standard_B16s_v2,4
28,Standard_B1ls,2
29,Standard_B1ms,2
30,Standard_B1s,2
31,Standard_B20ms,8
32,Standard_B2als_v2,2
33,Standard_B2as_v2,2
34,Standard_B2ats_v2,2
35,Standard_B2ls_v2,2
36,Standard_B2ms,3
37,Standard_B2pls_v2,2
38,Standard_B2ps_v2,2
39,Standard_B2pts_v2,2
40,Standard_B2s,3
41,Standard_B2s_v2,2
42,Standard_B2ts_v2,2
43,Standard_B32als_v2,4
44,Standard_B32as_v2,4
45,Standard_B32ls_v2,4
46,Standard_B32s_v2,4
47,Standard_B4als_v2,3
48,Standard_B4as_v2,3
49,Standard_B4ls_v2,3
50,Standard_B4ms,4
51,Standard_B4pls_v2,2
52,Standard_B4ps_v2,2
53,Standard_B4s_v2,3
54,Standard_B8als_v2,4
55,Standard_B8as_v2,4
56,Standard_B8ls_v2,4
57,Standard_B8ms,4
58,Standard_B8pls_v2,2
59,Standard_B8ps_v2,2
60,Standard_B8s_v2,4
61,Standard_D1,2
62,Standard_D11,2
63,Standard_D11_v2,2
64,Standard_D11_v2_Promo,2
65,Standard_D12,4
66,Standard_D12_v2,4
67,Standard_D12_v2_Promo,4
68,Standard_D13,8
69,Standard_D13_v2,8
70,Standard_D13_v2_Promo,8
71,Standard_D14,8
72,Standard_D14_v2,8
73,Standard_D14_v2_Promo,8
74,Standard_D15_v2,8
75,Standard_D16ads_v5,8
76,Standard_D16as_v4,8
77,Standard_D16as_v5,8
78,Standard_D16a_v4,8
79,Standard_D16ds_v4,8
80,Standard_D16ds_v5,8
81,Standard_D16d_v4,8
82,Standard_D16d_v5,8
83,Standard_D16lds_v5,8
84,Standard_D16ls_v5,8
85,Standard_D16pds_v5,4
86,Standard_D16plds_v5,4
87,Standard_D16pls_v5,4
88,Standard_D16ps_v5,4
89,Standard_D16s_v3,8
90,Standard_D16s_v4,8
91,Standard_D16s_v5,8
92,Standard_D16_v3,8
93,Standard_D16_v4,8
94,Standard_D16_v5,8
95,Standard_D1_v2,2
96,Standard_D2,2
97,Standard_D2ads_v5,2
98,Standard_D2as_v4,2
99,Standard_D2as_v5,2
100,Standard_D2a_v4,2
101,Standard_D2ds_v4,3
102,Standard_D2ds_v5,2
103,Standard_D2d_v4,2
104,Standard_D2d_v5,2
105,Standard_D2lds_v5,2
106,Standard_D2ls_v5,2
107,Standard_D2pds_v5,2
108,Standard_D2plds_v5,2
109,Standard_D2pls_v5,2
110,Standard_D2ps_v5,2
111,Standard_D2s_v3,2
112,Standard_D2s_v4,3
113,Standard_D2s_v5,2
114,Standard_D2_v2,2
115,Standard_D2_v2_Promo,2
116,Standard_D2_v3,2
117,Standard_D2_v4,3
118,Standard_D2_v5,2
119,Standard_D3,4
120,Standard_D32ads_v5,8
121,Standard_D32as_v4,8
122,Standard_D32as_v5,8
123,Standard_D32a_v4,8
124,Standard_D32ds_v4,8
125,Standard_D32ds_v5,8
126,Standard_D32d_v4,8
127,Standard_D32d_v5,8
128,Standard_D32lds_v5,8
129,Standard_D32ls_v5,8
130,Standard_D32pds_v5,8
131,Standard_D32plds_v5,8
132,Standard_D32pls_v5,8
133,Standard_D32ps_v5,8
134,Standard_D32s_v3,8
135,Standard_D32s_v4,8
136,Standard_D32s_v5,8
137,Standard_D32_v3,8
138,Standard_D32_v4,8
139,Standard_D32_v5,8
140,Standard_D3_v2,4
141,Standard_D3_v2_Promo,4
142,Standard_D4,8
143,Standard_D48ads_v5,8
144,Standard_D48as_v4,8
145,Standard_D48as_v5,8
146,Standard_D48a_v4,8
147,Standard_D48ds_v4,8
148,Standard_D48ds_v5,8
149,Standard_D48d_v4,8
150,Standard_D48d_v5,8
151,Standard_D48lds_v5,8
152,Standard_D48ls_v5,8
153,Standard_D48pds_v5,8
154,Standard_D48plds_v5,8
155,Standard_D48pls_v5,8
156,Standard_D48ps_v5,8
157,Standard_D48s_v3,8
158,Standard_D48s_v4,8
159,Standard_D48s_v5,8
160,Standard_D48_v3,8
161,Standard_D48_v4,8
162,Standard_D48_v5,8
163,Standard_D4ads_v5,2
164,Standard_D4as_v4,2
165,Standard_D4as_v5,2
166,Standard_D4a_v4,2
167,Standard_D4ds_v4,2
168,Standard_D4ds_v5,2
169,Standard_D4d_v4,2
170,Standard_D4d_v5,2
171,Standard_D4lds_v5,2
172,Standard_D4ls_v5,2
173,Standard_D4pds_v5,2
174,Standard_D4plds_v5,2
175,Standard_D4pls_v5,2
176,Standard_D4ps_v5,2
177,Standard_D4s_v3,2
178,Standard_D4s_v4,2
179,Standard_D4s_v5,2
180,Standard_D4_v2,8
181,Standard_D4_v2_Promo,8
182,Standard_D4_v3,2
183,Standard_D4_v4,2
184,Standard_D4_v5,2
185,Standard_D5_v2,8
186,Standard_D5_v2_Promo,8
187,Standard_D64ads_v5,8
188,Standard_D64as_v4,8
189,Standard_D64as_v5,8
190,Standard_D64a_v4,8
191,Standard_D64ds_v4,8
192,Standard_D64ds_v5,8
193,Standard_D64d_v4,8
194,Standard_D64d_v5,8
195,Standard_D64lds_v5,8
196,Standard_D64ls_v5,8
197,Standard_D64pds_v5,8
198,Standard_D64plds_v5,8
199,Standard_D64pls_v5,8
200,Standard_D64ps_v5,8
201,Standard_D64s_v3,8
202,Standard_D64s_v4,8
203,Standard_D64s_v5,8
204,Standard_D64_v3,8
205,Standard_D64_v4,8
206,Standard_D64_v5,8
207,Standard_D8ads_v5,4
208,Standard_D8as_v4,4
209,Standard_D8as_v5,4
210,Standard_D8a_v4,4
211,Standard_D8ds_v4,4
212,Standard_D8ds_v5,4
213,Standard_D8d_v4,4
214,Standard_D8d_v5,4
215,Standard_D8lds_v5,4
216,Standard_D8ls_v5,4
217,Standard_D8pds_v5,4
218,Standard_D8plds_v5,4
219,Standard_D8pls_v5,4
220,Standard_D8ps_v5,4
221,Standard_D8s_v3,4
222,Standard_D8s_v4,4
223,Standard_D8s_v5,4
224,Standard_D8_v3,4
225,Standard_D8_v4,4
226,Standard_D8_v5,4
227,Standard_D96ads_v5,8
228,Standard_D96as_v4,8
229,Standard_D96as_v5,8
230,Standard_D96a_v4,8
231,Standard_D96ds_v5,8
232,Standard_D96d_v5,8
233,Standard_D96lds_v5,8
234,Standard_D96ls_v5,8
235,Standard_D96s_v5,8
236,Standard_D96_v5,8
237,Standard_DC16ads_cc_v5,8
238,Standard_DC16ads_v5,4
239,Standard_DC16as_cc_v5,8
240,Standard_DC16as_v5,4
241,Standard_DC16ds_v3,8
242,Standard_DC16s_v3,8
