,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
0,us-east-1a,c6id.8xlarge,8,0.689,0.0905,2024-01-26 17:18:30+00:00
1,us-east-1d,c6id.12xlarge,8,1.0429,0.13473749999999998,2024-01-26 17:18:27+00:00
2,us-east-1b,r6id.xlarge,4,0.1278,0.035699999999999996,2024-01-26 17:18:22+00:00
3,us-east-1d,r5dn.16xlarge,15,2.3652,0.16234666666666667,2024-01-26 17:18:20+00:00
4,us-east-1d,c3.8xlarge,8,0.6974,0.09155,2024-01-26 17:18:19+00:00
5,us-east-1b,d3.8xlarge,3,1.44,0.48333333333333334,2024-01-26 17:18:17+00:00
6,us-east-1a,x2iezn.8xlarge,8,2.6287,0.3329625,2024-01-26 17:18:16+00:00
7,us-east-1d,r7g.12xlarge,8,1.102,0.142125,2024-01-26 17:18:15+00:00
8,us-east-1b,m5a.16xlarge,15,1.1541,0.08160666666666666,2024-01-26 17:18:15+00:00
9,us-east-1d,r4.16xlarge,15,1.6164,0.11242666666666667,2024-01-26 17:18:14+00:00
10,us-east-1d,m6a.12xlarge,8,1.1443,0.1474125,2024-01-26 17:18:13+00:00
11,us-east-1c,c6gd.16xlarge,15,1.2362,0.08708,2024-01-26 17:18:10+00:00
12,us-east-1d,d3en.xlarge,4,0.2174,0.0581,2024-01-26 17:18:07+00:00
13,us-east-1d,r6id.24xlarge,15,2.8189,0.19259333333333334,2024-01-26 17:18:06+00:00
14,us-east-1b,m7a.24xlarge,15,2.0693,0.14262,2024-01-26 17:18:05+00:00
15,us-east-1d,m7i.2xlarge,4,0.1825,0.049375,2024-01-26 17:18:04+00:00
16,us-east-1a,r6a.32xlarge,15,3.0697,0.20931333333333332,2024-01-26 17:18:04+00:00
17,us-east-1d,m6in.xlarge,4,0.1713,0.046575000000000005,2024-01-26 17:18:03+00:00
18,us-east-1d,r5ad.4xlarge,8,0.6269,0.0827375,2024-01-26 17:18:03+00:00
19,us-east-1d,c7i.8xlarge,8,0.6825,0.0896875,2024-01-26 17:18:01+00:00
20,us-east-1d,c7a.medium,2,0.023,0.014,2024-01-26 17:18:01+00:00
21,us-east-1c,m6id.16xlarge,15,1.5328,0.10685333333333333,2024-01-26 17:18:00+00:00
22,us-east-1f,x1.16xlarge,8,2.562,0.324625,2024-01-26 17:18:00+00:00
23,us-east-1d,i4g.2xlarge,4,0.2569,0.06797500000000001,2024-01-26 17:18:00+00:00
24,us-east-1d,inf2.xlarge,4,0.318,0.08325,2024-01-26 17:17:59+00:00
25,us-east-1b,c7a.4xlarge,8,0.4589,0.0617375,2024-01-26 17:17:58+00:00
26,us-east-1c,c6in.24xlarge,15,2.426,0.1664,2024-01-26 17:17:58+00:00
27,us-east-1d,m6i.32xlarge,15,2.5055,0.1717,2024-01-26 17:17:57+00:00
28,us-east-1c,r6a.16xlarge,15,1.5922,0.11081333333333335,2024-01-26 17:17:57+00:00
29,us-east-1b,m7a.32xlarge,15,3.5841,0.24360666666666664,2024-01-26 17:17:57+00:00
30,us-east-1f,c6in.32xlarge,14,3.3298,0.24248571428571428,2024-01-26 17:17:56+00:00
31,us-east-1a,r3.4xlarge,8,0.5176,0.069075,2024-01-26 17:17:56+00:00
32,us-east-1e,g3.8xlarge,8,0.9681,0.12538749999999999,2024-01-26 17:17:56+00:00
33,us-east-1d,r5b.24xlarge,15,4.1123,0.27882,2024-01-26 17:17:55+00:00
