,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
394,394,US East,PB6s Spot,1,0.083,0.083,2021-04-01 00:00:00+00:00,Azure
393,393,US East,PB24s Spot,1,0.332,0.332,2021-04-01 00:00:00+00:00,Azure
515,515,US East,PB12s Spot,1,0.166,0.166,2021-04-01 00:00:00+00:00,Azure
975,975,US East,NV6 Spot,1,0.114,0.114,2022-02-01 00:00:00+00:00,Azure
259,259,US East,NV24 Spot,1,0.456,0.456,2022-02-01 00:00:00+00:00,Azure
1102,1102,US East,NV12 Spot,1,0.228,0.228,2022-02-01 00:00:00+00:00,Azure
119,119,US East,H16 Spot,1,0.1807,0.1807,2022-03-01 00:00:00+00:00,Azure
1119,1119,US East,DC1s v2 Spot,1,0.0096,0.0096,2022-03-01 00:00:00+00:00,Azure
1181,1181,US East,H16r Spot,1,0.1988,0.1988,2022-03-01 00:00:00+00:00,Azure
684,684,US East,DC2s v2 Spot,1,0.0192,0.0192,2022-03-01 00:00:00+00:00,Azure
629,629,US East,H16mr Spot,1,0.2664,0.2664,2022-03-01 00:00:00+00:00,Azure
315,315,US East,H8 Spot,1,0.0904,0.0904,2022-03-01 00:00:00+00:00,Azure
332,332,US East,H16m Spot,1,0.2422,0.2422,2022-03-01 00:00:00+00:00,Azure
1727,1727,US East,DC8 v2 Spot,1,0.0768,0.0768,2022-03-01 00:00:00+00:00,Azure
209,209,US East,H8m Spot,1,0.1211,0.1211,2022-03-01 00:00:00+00:00,Azure
1423,1423,US East,DC4s v2 Spot,1,0.0384,0.0384,2022-03-01 00:00:00+00:00,Azure
1269,1269,US East,D64as v4 Spot,1,0.3072,0.3072,2022-07-01 00:00:00+00:00,Azure
1652,1652,US East,E8a v4 Spot,1,0.0504,0.0504,2022-07-01 00:00:00+00:00,Azure
1582,1582,US East,E8as v4 Spot,1,0.0504,0.0504,2022-07-01 00:00:00+00:00,Azure
739,739,US East,E64as v4 Spot,1,0.4032,0.4032,2022-07-01 00:00:00+00:00,Azure
1703,1703,US East,D48as v4 Spot,1,0.2304,0.2304,2022-07-01 00:00:00+00:00,Azure
1256,1256,US East,E96as v4 Spot,1,0.6048,0.6048,2022-07-01 00:00:00+00:00,Azure
246,246,US East,E16a v4 Spot,1,0.1008,0.1008,2022-07-01 00:00:00+00:00,Azure
467,467,US East,D32as v4 Spot,1,0.1536,0.1536,2022-07-01 00:00:00+00:00,Azure
921,921,US East,E20a v4 Spot,1,0.126,0.126,2022-07-01 00:00:00+00:00,Azure
960,960,US East,D16as v4 Spot,1,0.0768,0.0768,2022-07-01 00:00:00+00:00,Azure
70,70,US East,E8-2as_v4 Spot,1,0.0504,0.0504,2022-07-01 00:00:00+00:00,Azure
72,72,US East,D48a v4 Spot,1,0.2304,0.2304,2022-07-01 00:00:00+00:00,Azure
174,174,US East,D32a v4 Spot,1,0.1536,0.1536,2022-07-01 00:00:00+00:00,Azure
